airport_node,page_rank_value
KOY,1.8232680093809641
DGB,1.8232680093809641
FWA,1.8160259159856282
MYR,1.7862911103829198
SGF,1.7860333413281886
SHV,1.775613681916258
KKA,1.7713207763284056
SMK,1.7707614916817667
KNW,1.7498581496395904
ENA,1.7459583823278613
EUG,1.7410127573322491
ATT,1.7219587817092283
LCK,1.7104846409151446
KOT,1.7013867625644354
EGE,1.6943618137593568
RDB,1.6922862204009381
BRO,1.686953816241748
GCN,1.683007710351463
BTI,1.6715695665914987
EDA,1.6575966200920613
PPV,1.6575966200920613
MLL,1.6555215259563005
HDN,1.6162718458008505
TNK,1.6012675409286388
HSL,1.595878713073278
PHO,1.5933600158465782
ARC,1.577086000580427
EYW,1.5759179892669848
WBB,1.5693743068635317
KPN,1.5644334232533152
ABL,1.5532767176567595
GRB,1.5305882295769435
KWN,1.5150368719748368
LGB,1.5141665055689277
KUK,1.51077438826486
XNA,1.5104286123870159
KMY,1.5099441190435994
SYB,1.5093750163993784
MQY,1.50574664259468
BTR,1.5036940439282727
DAY,1.4622565227619986
WBQ,1.4612904156641453
SBA,1.4523657244864112
MCG,1.4519425795241012
GTF,1.4438830283292623
MOU,1.4356520581652084
HHR,1.4297618071990494
TLH,1.4291566051475322
SXP,1.4246639972776922
AKP,1.4210205239248577
MFR,1.420934725211259
PTH,1.4150628385569863
CYF,1.4049966026456102
RDM,1.4003757331682158
KKH,1.4002887749245843
WWT,1.3919161901884132
RBY,1.3904160031842783
SOV,1.390350062975993
KPV,1.3868542834322624
AET,1.3800256097989227
TCL,1.3740365667591925
BFI,1.3502318202648016
ABE,1.3443391929276138
LIH,1.3424478514125535
MTM,1.3415733997600081
KCC,1.3415733997600081
HYL,1.3415733997600081
KVL,1.3395336818175927
KCQ,1.3366204871119065
MAF,1.3253261496905007
SHH,1.3180154461100022
HYG,1.3148396014264698
RMP,1.3143831052477917
ORV,1.2986299552321938
SKK,1.2940985932326343
PIA,1.2887694381073613
BIS,1.2857638311840185
KWK,1.2849466388645667
NUP,1.2801982260210816
AUK,1.2784576519251478
ASE,1.277783864517906
ELI,1.277302263842665
ILN,1.253276887465107
GUM,1.253109856733751
TKJ,1.2511725523393016
MFE,1.244746963303638
TLT,1.2442764568880968
MTJ,1.2341985999867637
WLK,1.232302715445628
SDP,1.2217376071089405
ROA,1.218174679596477
KLG,1.2121158251683137
KPB,1.207955976951497
VPS,1.2038377754317786
KCL,1.2002512101728853
MHT,1.1887212309746533
FCA,1.1832986074737868
BKC,1.1772926597951525
IAN,1.1709689416007165
CLL,1.1669922910461448
ACY,1.1627896585366468
TIQ,1.1572094447505967
GNV,1.1519414502181022
HRL,1.1456879559909556
KMO,1.144749712961021
BTT,1.1431017365694178
ECP,1.1410158065443117
AVL,1.140107377168613
7AK,1.1313540255099732
ORI,1.1257941962075124
ROP,1.1228452002392328
AKK,1.1161443886679836
ATW,1.1146215674157562
NME,1.1016139893837085
FNT,1.0910656806767862
KCG,1.0893039435534282
MSO,1.086812973945511
KLL,1.0728461676428116
HSV,1.0721658645304655
RSH,1.0670139669978171
RLU,1.0579168171736557
WMO,1.0552474748168859
RAP,1.0517842030684132
KOZ,1.050029781018306
ISP,1.0463561630523874
WTK,1.042048617413246
TVC,1.0377864091753588
KKI,1.0274966356560913
STG,1.0232633938760005
FRG,1.0198287023877934
SVA,1.0185290755357785
GAM,1.0161147479012786
TAL,1.0153067059307657
MHR,1.015231569536216
MTX,1.0134441527096907
HNH,1.0112148234554645
SBD,1.009946736116608
IGG,1.0099189330265963
KEH,1.0088084452187984
SHG,1.0031104898453207
KLN,1.0021025427789845
ILM,0.9983244741521429
KGX,0.9980352616313025
BVU,0.9920760824284515
WWP,0.9873892162315784
NNL,0.981760185347193
CKB,0.9814809824283443
BMI,0.9743605946450549
STX,0.9661081517738049
BLI,0.9632618250084818
OLH,0.9554883071951078
KWT,0.9535172467222232
BTV,0.9439467084174394
DAB,0.9231512921891996
SCE,0.9216239050815014
KEK,0.9204735173098739
UGS,0.9196972578295594
TLA,0.9159394273192542
TYE,0.9159358900614155
AOS,0.9122133007100033
06A,0.9122133007100033
KPY,0.9122133007100033
A50,0.9122133007100033
EHR,0.9122133007100033
AMA,0.9122086512533056
KYU,0.9064233776179685
HPB,0.8986804646021397
KAL,0.89736438700644
WNA,0.8952046208239882
PIP,0.8951937801684244
CIK,0.8945513926406092
NUL,0.8927196262909235
MRY,0.8899260276487027
KXA,0.8820481427875608
GNU,0.8805617747966191
CKD,0.8793503292247365
KLW,0.878805506154412
CLP,0.8729397649580517
LAN,0.8717734554000492
KTS,0.8608192808427283
CHA,0.8580874867848007
PSC,0.8559780287426648
KGK,0.854970535897285
ACT,0.8525139391717675
AKI,0.8469921755024333
MNT,0.8454224529380371
SCM,0.838572948801277
PPC,0.8383836868735511
YAK,0.8335396563672574
PKA,0.8278523731801611
VAK,0.8269615828875706
SHX,0.8251031601527709
UGI,0.8151602200241851
KWP,0.8151602200241851
MLI,0.8092120768773143
GST,0.8089399333004831
WAA,0.8073877697175684
BCT,0.8043435571348045
SUN,0.8019060098432864
GJT,0.7988110477633656
GLV,0.7846491660630652
EVV,0.7808524985227046
NUI,0.7788475732889837
SVS,0.766937512201109
PDK,0.7574286563394035
KZB,0.756120458185542
CAK,0.7527598507447427
SLQ,0.7492706288728509
